Kommunenummer	Stadnamn	Prioritet	Kommune	Fylke	Lat	Long	Nynorsk	Bokmål	Engelsk
543	Dokkstølen	60	Vestre Slidre	Oppland	61.0871	8.9034	http://www.yr.no/stad/Noreg/Oppland/Vestre_Slidre/Dokkstølen/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Vestre_Slidre/Dokkstølen/varsel.xml	http://www.yr.no/place/Norway/Oppland/Vestre_Slidre/Dokkstølen/forecast.xml
543	Grytestølane	60	Vestre Slidre	Oppland	61.0751	8.7525	http://www.yr.no/stad/Noreg/Oppland/Vestre_Slidre/Grytestølane/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Vestre_Slidre/Grytestølane/varsel.xml	http://www.yr.no/place/Norway/Oppland/Vestre_Slidre/Grytestølane/forecast.xml
544	Heggenes	30	Øystre Slidre	Oppland	61.1424	9.0699	http://www.yr.no/stad/Noreg/Oppland/Øystre_Slidre/Heggenes/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Øystre_Slidre/Heggenes/varsel.xml	http://www.yr.no/place/Norway/Oppland/Øystre_Slidre/Heggenes/forecast.xml
544	Beito	50	Øystre Slidre	Oppland	61.2414	8.8694	http://www.yr.no/stad/Noreg/Oppland/Øystre_Slidre/Beito/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Øystre_Slidre/Beito/varsel.xml	http://www.yr.no/place/Norway/Oppland/Øystre_Slidre/Beito/forecast.xml
544	Beitostølen	50	Øystre Slidre	Oppland	61.2471	8.9070	http://www.yr.no/stad/Noreg/Oppland/Øystre_Slidre/Beitostølen/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Øystre_Slidre/Beitostølen/varsel.xml	http://www.yr.no/place/Norway/Oppland/Øystre_Slidre/Beitostølen/forecast.xml
544	Skammestein	50	Øystre Slidre	Oppland	61.1967	8.9824	http://www.yr.no/stad/Noreg/Oppland/Øystre_Slidre/Skammestein/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Øystre_Slidre/Skammestein/varsel.xml	http://www.yr.no/place/Norway/Oppland/Øystre_Slidre/Skammestein/forecast.xml
544	Rogne	50	Øystre Slidre	Oppland	61.1001	9.1166	http://www.yr.no/stad/Noreg/Oppland/Øystre_Slidre/Rogne/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Øystre_Slidre/Rogne/varsel.xml	http://www.yr.no/place/Norway/Oppland/Øystre_Slidre/Rogne/forecast.xml
545	Vang	30	Vang	Oppland	61.1242	8.5722	http://www.yr.no/stad/Noreg/Oppland/Vang/Vang/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Vang/Vang/varsel.xml	http://www.yr.no/place/Norway/Oppland/Vang/Vang/forecast.xml
545	Ryfoss	50	Vang	Oppland	61.1369	8.8234	http://www.yr.no/stad/Noreg/Oppland/Vang/Ryfoss/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Vang/Ryfoss/varsel.xml	http://www.yr.no/place/Norway/Oppland/Vang/Ryfoss/forecast.xml
545	Tyinkrysset	50	Vang	Oppland	61.2001	8.2351	http://www.yr.no/stad/Noreg/Oppland/Vang/Tyinkrysset/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Vang/Tyinkrysset/varsel.xml	http://www.yr.no/place/Norway/Oppland/Vang/Tyinkrysset/forecast.xml
545	Øye	50	Vang	Oppland	61.1656	8.4000	http://www.yr.no/stad/Noreg/Oppland/Vang/Øye/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Vang/Øye/varsel.xml	http://www.yr.no/place/Norway/Oppland/Vang/Øye/forecast.xml
545	Eidsbugarden	60	Vang	Oppland	61.3741	8.3003	http://www.yr.no/stad/Noreg/Oppland/Vang/Eidsbugarden/varsel.xml	http://www.yr.no/sted/Norge/Oppland/Vang/Eidsbugarden/varsel.xml	http://www.yr.no/place/Norway/Oppland/Vang/Eidsbugarden/forecast.xml
602	Drammen	25	Drammen	Buskerud	59.7425	10.2049	http://www.yr.no/stad/Noreg/Buskerud/Drammen/Drammen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Drammen/Drammen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Drammen/Drammen/forecast.xml
602	Bragernes	60	Drammen	Buskerud	59.7466	10.2113	http://www.yr.no/stad/Noreg/Buskerud/Drammen/Bragernes/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Drammen/Bragernes/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Drammen/Bragernes/forecast.xml
602	Konnerud	60	Drammen	Buskerud	59.7203	10.1449	http://www.yr.no/stad/Noreg/Buskerud/Drammen/Konnerud/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Drammen/Konnerud/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Drammen/Konnerud/forecast.xml
602	Strømsgodset	60	Drammen	Buskerud	59.7380	10.1716	http://www.yr.no/stad/Noreg/Buskerud/Drammen/Strømsgodset/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Drammen/Strømsgodset/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Drammen/Strømsgodset/forecast.xml
602	Tverken	60	Drammen	Buskerud	59.7864	10.1346	http://www.yr.no/stad/Noreg/Buskerud/Drammen/Tverken/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Drammen/Tverken/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Drammen/Tverken/forecast.xml
604	Kongsberg	25	Kongsberg	Buskerud	59.6679	9.6506	http://www.yr.no/stad/Noreg/Buskerud/Kongsberg/Kongsberg/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Kongsberg/Kongsberg/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Kongsberg/Kongsberg/forecast.xml
604	Passebekk	50	Kongsberg	Buskerud	59.5098	9.8271	http://www.yr.no/stad/Noreg/Buskerud/Kongsberg/Passebekk/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Kongsberg/Passebekk/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Kongsberg/Passebekk/forecast.xml
604	Ble fjellstue	60	Kongsberg	Buskerud	59.7506	9.3692	http://www.yr.no/stad/Noreg/Buskerud/Kongsberg/Ble_fjellstue/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Kongsberg/Ble_fjellstue/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Kongsberg/Ble_fjellstue/forecast.xml
604	Sandsværmoen	60	Kongsberg	Buskerud	59.6554	9.6339	http://www.yr.no/stad/Noreg/Buskerud/Kongsberg/Sandsværmoen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Kongsberg/Sandsværmoen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Kongsberg/Sandsværmoen/forecast.xml
604	Meheia	60	Kongsberg	Buskerud	59.6287	9.5015	http://www.yr.no/stad/Noreg/Buskerud/Kongsberg/Meheia/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Kongsberg/Meheia/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Kongsberg/Meheia/forecast.xml
605	Hønefoss	25	Ringerike	Buskerud	60.1666	10.2569	http://www.yr.no/stad/Noreg/Buskerud/Ringerike/Hønefoss/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ringerike/Hønefoss/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ringerike/Hønefoss/forecast.xml
605	Hallingby	50	Ringerike	Buskerud	60.2700	10.1849	http://www.yr.no/stad/Noreg/Buskerud/Ringerike/Hallingby/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ringerike/Hallingby/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ringerike/Hallingby/forecast.xml
605	Nes	50	Ringerike	Buskerud	60.5620	9.9882	http://www.yr.no/stad/Noreg/Buskerud/Ringerike/Nes/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ringerike/Nes/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ringerike/Nes/forecast.xml
605	Sokna	50	Ringerike	Buskerud	60.2373	9.9286	http://www.yr.no/stad/Noreg/Buskerud/Ringerike/Sokna/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ringerike/Sokna/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ringerike/Sokna/forecast.xml
605	Havikskogen	60	Ringerike	Buskerud	60.2505	9.7866	http://www.yr.no/stad/Noreg/Buskerud/Ringerike/Havikskogen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ringerike/Havikskogen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ringerike/Havikskogen/forecast.xml
605	Heggen	60	Ringerike	Buskerud	60.2017	10.1272	http://www.yr.no/stad/Noreg/Buskerud/Ringerike/Heggen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Ringerike/Heggen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Ringerike/Heggen/forecast.xml
612	Røyse	30	Hole	Buskerud	60.0775	10.1947	http://www.yr.no/stad/Noreg/Buskerud/Hole/Røyse/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hole/Røyse/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hole/Røyse/forecast.xml
612	Hole	40	Hole	Buskerud	60.0787	10.2788	http://www.yr.no/stad/Noreg/Buskerud/Hole/Hole/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hole/Hole/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hole/Hole/forecast.xml
612	Krokkleiva	50	Hole	Buskerud	60.0516	10.3160	http://www.yr.no/stad/Noreg/Buskerud/Hole/Krokkleiva/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hole/Krokkleiva/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hole/Krokkleiva/forecast.xml
612	Sollihøgda	50	Hole	Buskerud	59.9625	10.3462	http://www.yr.no/stad/Noreg/Buskerud/Hole/Sollihøgda/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hole/Sollihøgda/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hole/Sollihøgda/forecast.xml
612	Bønsnes	60	Hole	Buskerud	60.0595	10.1980	http://www.yr.no/stad/Noreg/Buskerud/Hole/Bønsnes/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hole/Bønsnes/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hole/Bønsnes/forecast.xml
612	Helgelandsmoen	60	Hole	Buskerud	60.1130	10.2317	http://www.yr.no/stad/Noreg/Buskerud/Hole/Helgelandsmoen/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Hole/Helgelandsmoen/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Hole/Helgelandsmoen/forecast.xml
615	Flå	30	Flå	Buskerud	60.4277	9.4666	http://www.yr.no/stad/Noreg/Buskerud/Flå/Flå/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Flå/Flå/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Flå/Flå/forecast.xml
615	Knutestova	60	Flå	Buskerud	60.4741	9.5559	http://www.yr.no/stad/Noreg/Buskerud/Flå/Knutestova/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Flå/Knutestova/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Flå/Knutestova/forecast.xml
615	Miljoseter	60	Flå	Buskerud	60.3286	9.4937	http://www.yr.no/stad/Noreg/Buskerud/Flå/Miljoseter/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Flå/Miljoseter/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Flå/Miljoseter/forecast.xml
615	Rimeseter	60	Flå	Buskerud	60.4816	9.3570	http://www.yr.no/stad/Noreg/Buskerud/Flå/Rimeseter/varsel.xml	http://www.yr.no/sted/Norge/Buskerud/Flå/Rimeseter/varsel.xml	http://www.yr.no/place/Norway/Buskerud/Flå/Rimeseter/forecast.xml
